Search number,Query,Sort By,Filters,Search Details,Results,Time,Date
17,"""tibialis posterior""[tiab]",,,"""tibialis posterior""[Title/Abstract]","1,177",14:29:56,2026/04/17
16,"""tibialis anterior""[tiab]",,,"""tibialis anterior""[Title/Abstract]","11,247",14:29:47,2026/04/17
15,"""achilles""[tiab]",,,"""achilles""[Title/Abstract]","17,092",14:29:39,2026/04/17
14,"""fibularis longus""[tiab]",,,"""fibularis longus""[Title/Abstract]",167,14:29:27,2026/04/17
13,"""peroneus longus""[tiab]",,,"""peroneus longus""[Title/Abstract]","1,649",14:29:19,2026/04/17
12,"""quadriceps tendon""[tiab]",,,"""quadriceps tendon""[Title/Abstract]","2,138",14:28:42,2026/04/17
11,"""gracilis""[tiab]",,,"""gracilis""[Title/Abstract]","9,214",14:28:32,2026/04/17
10,"""semitendinosus""[tiab]",,,"""semitendinosus""[Title/Abstract]","5,167",14:28:25,2026/04/17
9,"""hamstring tendon""[tiab]",,,"""hamstring tendon""[Title/Abstract]","1,974",14:28:17,2026/04/17
8,"""BPTB""[tiab]",,,"""BPTB""[Title/Abstract]",607,14:28:09,2026/04/17
7,"""patellar tendon""[tiab]",,,"""patellar tendon""[Title/Abstract]","6,807",14:27:59,2026/04/17
6,"""bone-patellar tendon-bone""[tiab]",,,"""bone-patellar tendon-bone""[Title/Abstract]","1,591",14:27:51,2026/04/17
5,"""Meta-Analysis""[pt]",,,"""Meta-Analysis""[Publication Type]","235,070",14:27:38,2026/04/17
4,"""Systematic Review""[pt]",,,"""Systematic Review""[Publication Type]","325,551",14:27:29,2026/04/17
3,"""Review""[pt]",,,"""Review""[Publication Type]","3,957,838",14:27:12,2026/04/17
2,"""anterior cruciate ligament reconstruction""[tiab]",,,"""anterior cruciate ligament reconstruction""[Title/Abstract]","11,977",14:26:58,2026/04/17
1,"""anterior cruciate ligament""[MeSH Terms]",,,"""anterior cruciate ligament""[MeSH Terms]","13,121",14:25:58,2026/04/17
